,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
865,,,11.01,,
866,,3.01,,,
867,,,10.68,,
868,20.3,,,,
869,,,,857.0,
870,,,10.35,,
871,,,,638.07,
872,,,10.17,,
873,16.9,,,,
874,,,,458.01,
875,9.6,,,,
876,,,,461.23,
877,,3.59,,,
878,,,10.21,,
879,,,10.4,,
880,,,10.35,,
881,,,,,26.44
882,,11.65,,,
883,,,,921.58,
884,23.2,,,,
885,,,,744.09,
886,18.9,,,,
887,16.7,,,,
888,,,,,15.93
889,,,10.13,,
890,,,,638.91,
891,17.4,,,,
892,,,9.98,,
893,,3.22,,,
894,,6.64,,,
895,,,,,19.61
896,,,,,14.8
897,,4.94,,,
898,,,10.48,,
899,,,10.51,,
900,,12.19,,,
901,,,,661.69,
902,,,,,21.93
903,24.8,,,,
904,,,11.76,,
905,,,,895.88,
906,,,11.46,,
907,20.6,,,,
908,,,11.03,,
909,,,,785.71,
910,,,,,11.98
911,,2.89,,,
912,,,,668.07,
913,17.3,,,,
914,,,10.34,,
915,,1.12,,,
916,14.0,,,,
917,,0.55,,,
918,13.7,,,,
919,15.6,,,,
920,,,,817.09,
921,,,10.63,,
922,29.8,,,,
923,,,13.07,,
924,,,,,7.54
925,,,,981.04,
926,,,,1225.07,
927,,4.03,,,
928,,,11.9,,
929,58.6,,,,
930,,17.78,,,
931,,,11.44,,
932,,,11.27,,
933,,9.25,,,
934,,9.06,,,
935,38.4,,,,
936,,13.22,,,
937,,,,1136.57,
938,46.3,20.8,11.23,915.84,21.52
939,43.0,,,,
940,,,,,32.13
941,29.7,,,,
942,,,,,34.82
943,,,,,34.83
944,,,,544.52,
945,,,,602.95,
946,,,,836.66,
947,,2.1,,,
948,40.8,,,,
949,48.6,,,,
950,48.8,,,,
951,44.6,,,,
952,,,12.39,,
953,,,,,7.05
954,,2.1,,,
955,,2.1,,,
956,,,,1490.62,
957,,,11.94,,
958,58.7,,,,
959,,,,,6.63
960,,,,863.26,
961,,,11.25,,
962,,,,,7.41
963,,,,874.23,
964,48.5,,,,
965,,,12.26,,
966,,1.56,,,
967,5.2,,,,
968,,,11.59,,
969,24.0,,,,
970,,,,,19.1
971,,,,432.56,
972,,,12.07,,
973,,,,567.66,
974,37.9,,,,
975,38.5,,,,
976,,,,,8.02
977,,,,,7.63
978,,,11.5,,
979,,,,,7.32
980,,,11.16,,
981,,,,820.79,
982,27.6,,,,
983,,,,890.98,
984,,,10.82,,
985,33.8,,,,
986,,,,910.82,
987,,,,,16.27
988,,,11.2,,
989,,,11.57,,
990,39.2,,,,
991,,,,595.11,
992,,,13.04,,
993,38.2,,,,
994,,,13.16,,
995,,,12.91,,
996,,,12.54,,
997,,,,,21.78
998,39.3,,,,
999,,,,884.15,
1000,,1.72,,,
1001,,3.62,,,
1002,,,10.95,,
1003,,3.93,,,
1004,,2.75,,,
1005,27.9,2.35,10.66,460.14,13.29
1006,,,10.82,,
1007,,,,328.87,
1008,,,10.68,,
1009,,,,,14.72
1010,,,,,14.98
1011,,10.36,,,
1012,,,11.6,,
1013,34.0,,,,
1014,,,,,23.45
1015,,,11.55,,
1016,26.2,,,,
1017,,13.25,,,
1018,,,,432.58,
1019,,,,433.74,
1020,,,,480.35,
1021,,,,428.73,
1022,,,,392.8,
1023,,,,391.91,
1024,13.5,,,,
1025,,,,509.46,
1026,,5.0,,,
1027,,,10.68,,
1028,,,,,20.71
1029,,,10.78,,
1030,,,,,23.86
1031,19.5,,,,
1032,,,,,23.85
1033,17.9,,,,
1034,,,,,25.8
1035,,5.26,,,
1036,,,,,24.76
1037,,,,165.34,
1038,,10.5,,,
1039,7.9,,,,
1040,,,,240.98,
1041,,,,258.33,
1042,,,,,25.87
1043,,,,271.3,
1044,,,,285.12,
1045,,,,354.8,
1046,7.8,,,,
1047,,,10.88,,
1048,15.4,,,,
1049,,,,,25.25
1050,,,,,16.99
1051,,,10.55,,
1052,11.5,,,,
1053,,,,251.45,
1054,,,,,24.04
1055,,,10.34,,
1056,,4.17,,,
1057,,,,195.91,
1058,,,,169.76,
1059,,,10.83,,
1060,,,10.97,,
1061,9.6,,,,
1062,,8.16,,,
1063,8.8,,,,
1064,,,12.22,,
1065,,,,,32.29
1066,,8.62,,,
1067,,,,269.62,
1068,,5.79,,,
1069,19.2,,,,
1070,,4.39,,,
1071,,7.69,,,
1072,,,11.2,,
1073,,7.18,,,
1074,,,11.53,,
1075,,,11.12,,
1076,,7.33,,,
1077,,,,,16.74
1078,,5.25,,,
1079,25.7,4.48,10.97,379.06,21.21
1080,,,,326.96,
1081,,6.86,,,
1082,,,11.14,,
1083,,,11.29,,
1084,,,,,17.91
1085,,,10.58,,
1086,,,,317.77,
1087,20.3,,,,
1088,,11.17,,,
1089,,8.38,,,
1090,,,,,16.47
1091,,,,,13.1
1092,15.5,,,,
1093,12.8,,,,
1094,11.7,,,,
1095,,1.15,,,
1096,,,,,9.59
1097,,,,466.39,
1098,,,,,16.79
1099,,,,334.41,
1100,10.5,,,,
1101,,2.12,,,
1102,,,10.67,,
1103,,,,570.73,
1104,,,,,20.7
1105,,,,,22.44
1106,25.7,,,,
1107,,13.23,,,
1108,,,,,28.64
1109,,,11.24,,
1110,,,,277.22,
1111,,,12.57,,
1112,,,,,21.3
1113,,,,452.56,
1114,,8.98,,,
1115,,6.28,,,
1116,,,,943.1,
1117,,,,1006.45,
1118,,9.1,,,
1119,,,,,8.26
1120,,,11.2,,
1121,,,,699.89,
1122,,,,660.31,
1123,,,,533.53,
1124,,,,,8.69
1125,,,,,7.7
1126,,,,624.07,
1127,,,,,19.05
1128,,,,498.08,
1129,,,,,18.88
1130,,5.81,,,
1131,,,,519.35,
1132,21.1,,,,
1133,,,,458.95,
1134,22.0,,,,
1135,,1.3,,,
1136,,,10.62,,
1137,,,,,18.86
1138,,0.45,,,
1139,,,10.02,,
1140,,,,,14.03
1141,14.4,,,,
1142,,2.68,,,
1143,,,10.15,,
1144,,,10.19,,
1145,,,10.04,,
1146,,0.75,,,
1147,,0.55,,,
1148,,,10.35,,
1149,,1.49,,,
1150,24.5,3.5,10.41,281.7,18.26
1151,20.2,,,,
1152,,,,458.44,
1153,,,,606.94,
1154,,,,,20.04
1155,,12.77,,,
1156,36.4,,,,
1157,,8.3,,,
1158,,,11.02,,
1159,37.0,,,,
1160,,15.82,,,
1161,28.7,,,,
1162,,,10.55,,
1163,,,8.56,,
1164,14.3,4.42,10.22,755.79,13.57
1165,,,,668.9,
1166,,,,547.86,
1167,,,,561.17,
1168,25.8,,,,
1169,32.5,,,,
1170,,,13.33,,
1171,19.4,,,,
1172,20.6,,,,
1173,,,,684.01,
1174,,,,638.52,
1175,,,,627.63,
1176,,,11.89,,
1177,,8.3,,,
1178,,6.88,,,
1179,13.7,,,,
1180,16.4,,,,
1181,,,11.18,,
1182,,3.28,,,
1183,,,11.34,,
1184,,,11.43,,
1185,,,,656.89,
1186,,,11.64,,
1187,,,,,15.72
1188,,,12.15,,
1189,,13.08,,,
1190,,,,573.62,
1191,,,,554.79,
1192,,,13.59,,
1193,,,,,21.08
1194,,14.09,,,
1195,22.8,,,,
1196,,,,,25.63
1197,,,13.41,,
1198,19.9,,,,
