,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,OUT
336,13.4,0.59,1.92,34.96,42.13,7.17,1
337,10.18,0.64,2.03,30.38,38.32,7.94,1
338,7.89,0.81,1.7,31.89,39.03,7.14,2
339,6.03,0.96,3.38,50.82,64.41,13.59,2
340,10.17,1.71,3.41,89.19,122.0,32.81,1
341,19.36,1.85,1.92,34.67,41.4,6.73,1
342,18.7,1.33,1.83,29.11,36.57,7.46,1
343,17.38,1.25,1.92,32.94,42.28,9.34,1
344,21.23,1.48,1.87,33.56,41.72,8.15,1
345,22.87,1.54,1.89,44.9,58.24,13.35,2
346,22.72,3.63,1.99,52.94,70.73,17.79,2
347,30.83,6.46,1.9,47.65,65.94,18.29,2
348,34.72,7.98,1.57,43.01,53.57,10.56,2
349,29.2,12.11,1.54,51.74,60.17,8.42,2
350,23.87,13.44,1.51,77.1,88.01,10.91,3
351,18.9,12.02,1.52,118.35,158.17,39.82,3
352,21.78,13.49,1.4,126.44,169.67,43.23,3
353,26.09,17.42,2.46,139.47,193.16,53.69,3
354,28.71,12.2,1.46,119.63,160.42,40.78,3
355,41.1,11.62,2.05,114.7,145.66,30.96,3
356,56.54,12.97,1.24,101.75,122.23,20.48,3
357,59.2,9.86,1.37,82.47,94.57,12.11,3
358,56.16,10.1,2.28,83.18,93.91,10.73,2
359,47.3,10.17,3.94,81.56,88.82,7.26,2
360,42.01,7.47,3.73,79.61,87.71,8.09,2
361,38.97,8.51,1.39,30.99,42.18,11.2,2
362,31.42,10.25,0.88,22.07,33.2,11.13,1
363,24.1,7.3,0.83,33.92,46.99,13.07,1
364,22.81,5.72,0.74,36.13,48.02,11.89,1
365,19.77,4.63,0.99,42.99,64.09,21.1,1
366,19.78,4.73,1.2,33.15,51.29,18.14,1
367,19.76,5.28,1.46,25.98,41.9,15.92,1
368,20.73,9.85,1.21,27.48,43.17,15.69,1
369,19.95,13.8,1.19,25.21,39.6,14.39,1
370,21.62,10.75,1.0,36.1,54.12,18.02,1
371,22.21,8.84,0.73,46.29,65.0,18.71,2
372,20.92,6.66,0.59,57.48,76.83,19.36,2
373,18.14,4.66,0.61,56.9,74.74,17.84,1
374,14.42,4.33,0.52,43.88,60.66,16.79,2
375,13.56,4.7,0.53,54.22,72.69,18.46,2
376,13.17,3.29,1.1,58.37,72.37,13.99,1
377,20.42,4.34,0.87,45.53,56.88,11.36,2
378,23.86,6.24,1.14,64.29,75.48,11.19,2
379,25.36,4.76,0.94,59.68,68.66,8.98,2
380,27.39,8.03,1.1,41.12,47.98,6.86,2
381,26.02,12.02,1.04,34.15,39.08,4.94,2
382,30.68,8.76,1.15,29.32,35.63,6.3,2
383,29.56,7.18,1.95,42.08,56.17,14.09,2
384,40.2,5.83,2.69,69.05,94.89,25.84,3
385,49.66,7.22,2.84,119.49,176.85,57.36,3
386,46.28,15.4,5.02,143.91,218.88,74.98,3
387,67.41,22.95,3.91,69.2,100.64,31.43,3
388,82.98,28.26,6.47,46.78,66.3,19.52,3
389,78.15,34.28,5.96,40.92,60.23,19.3,3
390,72.76,34.4,5.51,42.18,66.06,23.88,3
391,62.26,32.31,8.75,36.05,52.99,16.94,2
392,44.69,28.25,7.79,36.31,54.12,17.81,2
393,38.93,22.75,6.28,36.92,51.53,14.61,2
394,34.12,20.07,5.13,46.51,66.31,19.8,2
395,28.54,17.47,1.69,27.51,34.03,6.52,1
396,24.43,12.23,1.46,31.36,36.72,5.36,1
397,17.1,8.54,3.36,46.26,52.87,6.61,2
398,11.97,5.98,3.51,84.0,108.52,24.52,2
399,11.77,4.19,2.38,98.06,118.5,20.44,2
400,18.54,2.93,2.84,71.56,82.67,11.11,2
401,20.25,3.48,2.96,85.4,103.8,18.4,2
402,16.12,4.63,3.51,75.57,95.48,19.91,2
403,16.82,3.47,3.53,61.98,72.43,10.45,2
404,17.19,3.22,2.31,69.74,83.93,14.19,1
405,13.01,2.9,4.52,47.21,54.64,7.43,2
406,8.14,2.0,1.91,66.91,90.13,23.22,2
407,7.36,1.94,1.99,96.16,153.25,57.09,3
408,10.9,1.36,1.81,103.05,168.37,65.33,2
409,18.64,1.41,15.72,82.39,117.01,34.62,2
410,34.01,1.87,17.48,91.41,146.25,54.83,3
411,56.44,2.32,26.73,108.95,175.33,66.38,3
412,63.32,12.2,17.55,90.5,135.12,44.62,3
413,67.59,24.23,6.96,42.65,63.16,20.5,3
414,58.65,21.25,5.66,33.99,51.68,17.69,3
415,52.93,20.51,5.03,33.25,53.69,20.44,2
416,43.59,18.93,4.83,37.02,57.77,20.75,2
417,42.99,16.55,4.7,41.28,61.28,20.0,2
418,39.44,12.55,9.16,63.73,89.76,26.04,2
419,36.77,11.79,7.31,89.12,119.86,30.75,3
420,38.77,14.55,4.01,102.04,136.41,34.38,2
421,27.25,12.76,2.52,47.97,58.07,10.1,2
422,21.85,8.93,3.44,73.58,94.23,20.65,3
423,24.07,6.25,5.18,108.74,135.97,27.23,3
424,28.77,5.38,4.08,145.3,229.26,83.96,2
425,45.97,4.56,1.81,40.2,47.93,7.73,2
426,41.78,6.93,2.0,39.56,46.9,7.33,2
427,42.57,8.6,2.14,30.82,37.22,6.41,2
428,40.05,6.37,1.86,22.65,27.68,5.02,2
429,37.18,5.35,1.36,25.41,32.56,7.15,2
430,26.4,4.27,1.2,49.24,63.97,14.73,2
431,19.16,3.38,1.2,81.4,108.99,27.59,2
432,24.26,3.01,1.95,79.74,105.54,25.8,2
433,37.45,2.18,2.4,52.14,70.6,18.47,2
434,34.1,1.76,2.86,42.8,61.36,18.57,2
435,34.83,2.78,3.43,35.8,51.25,15.44,2
436,30.75,4.1,3.49,26.63,39.05,12.42,2
437,31.03,3.81,1.71,16.21,23.12,6.91,1
438,24.27,3.7,1.97,34.43,48.32,13.88,1
439,18.77,3.04,1.07,19.11,25.83,6.72,1
440,13.55,2.13,0.6,17.71,24.27,6.56,1
441,11.64,1.67,0.62,22.65,30.01,7.36,1
442,10.81,1.44,0.28,32.84,41.88,9.04,2
443,7.87,1.01,0.79,70.99,89.12,18.13,1
444,10.56,0.91,1.12,46.73,61.57,14.84,1
445,16.5,0.95,1.07,31.05,39.54,8.48,1
446,13.71,0.67,1.1,46.67,61.11,14.44,2
447,15.31,0.63,1.17,68.98,84.36,15.37,1
448,15.41,0.69,1.52,39.89,49.15,9.25,1
449,10.79,0.53,1.72,31.23,37.29,6.06,1
450,7.66,0.95,2.07,37.98,43.97,6.0,1
451,8.09,1.44,1.47,30.8,36.9,6.1,1
452,14.07,1.3,2.19,27.94,34.47,6.53,1
453,20.3,1.8,2.11,40.58,54.1,13.52,2
454,23.12,1.12,2.49,63.51,95.74,32.23,2
455,26.82,1.24,2.94,58.73,79.42,20.7,2
456,28.23,2.67,2.29,24.47,39.79,15.32,2
457,27.86,2.82,1.95,28.72,43.72,15.0,1
458,20.67,1.76,2.15,37.03,52.09,15.06,1
459,19.86,1.49,2.2,33.02,40.65,7.63,2
460,16.43,1.44,2.02,53.43,59.66,6.22,2
461,16.08,1.0,1.89,56.32,63.25,6.94,3
462,13.63,1.0,3.34,106.42,138.77,32.35,2
463,16.53,1.97,1.99,90.42,117.84,27.42,2
464,27.51,8.8,2.3,77.19,98.79,21.6,2
465,27.15,14.54,1.39,78.48,98.41,19.93,2
466,19.46,10.2,3.02,91.08,118.0,26.92,2
467,17.59,7.97,4.5,66.72,78.1,11.39,2
468,20.08,6.86,6.41,68.45,79.78,11.33,2
469,14.06,5.16,8.0,70.88,83.16,12.27,2
470,12.25,4.2,4.2,69.06,96.79,27.73,3
471,13.72,2.98,2.43,103.93,185.85,81.92,3
472,12.17,2.08,1.96,105.79,187.72,81.93,2
473,18.65,1.92,3.17,92.36,161.1,68.74,2
474,39.75,2.55,6.49,94.39,164.75,70.36,2
475,41.76,12.6,3.97,33.23,48.76,15.53,2
476,38.26,13.25,3.42,37.28,54.99,17.7,2
477,28.54,13.4,3.22,45.65,62.1,16.45,3
478,22.6,20.06,3.49,125.36,174.73,49.37,3
479,57.43,20.59,2.83,118.38,150.04,31.66,2
480,45.71,15.97,1.42,91.73,114.8,23.07,3
481,41.98,11.31,1.36,104.29,138.71,34.42,3
