,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,OUT
420,16.56,2.24,59.55,68.43,8.88,2
421,24.47,3.91,83.38,109.14,25.76,2
422,30.46,3.25,59.35,73.32,13.97,2
423,25.1,2.05,37.29,41.74,4.45,2
424,19.03,2.59,57.15,64.39,7.24,1
425,20.52,2.4,41.68,46.4,4.72,2
426,31.8,2.03,34.89,38.66,3.77,1
427,23.24,2.12,30.59,33.61,3.02,1
428,16.32,1.98,26.44,28.97,2.53,2
429,36.09,1.68,27.03,29.86,2.83,2
430,26.33,1.36,29.8,33.21,3.41,1
431,21.81,1.39,41.63,47.47,5.84,1
432,16.12,1.62,49.45,60.82,11.37,2
433,29.08,1.94,49.89,63.0,13.11,2
434,27.58,1.92,33.03,42.47,9.44,1
435,23.3,1.85,25.46,32.54,7.08,2
436,26.87,2.04,24.78,33.71,8.93,2
437,25.78,1.95,25.41,33.65,8.24,1
438,22.07,1.35,16.6,21.88,5.28,2
439,28.14,1.26,19.99,26.8,6.81,1
440,19.84,1.42,21.17,26.84,5.67,1
441,14.02,1.23,26.61,31.27,4.66,1
442,10.1,1.22,32.05,36.33,4.28,1
443,9.62,1.24,31.34,35.44,4.1,1
444,8.04,1.21,32.3,35.64,3.34,2
445,13.36,2.11,53.4,61.2,7.8,2
446,18.07,1.68,50.07,57.12,7.05,1
447,13.12,1.75,33.19,37.86,4.67,1
448,12.81,1.49,26.97,30.05,3.08,1
449,9.01,1.5,40.26,43.91,3.65,1
450,7.37,1.99,26.2,29.41,3.21,1
451,6.32,1.95,26.33,29.03,2.7,1
452,7.23,1.65,28.25,32.03,3.78,1
453,5.08,1.58,25.06,28.79,3.73,1
454,10.33,2.02,47.54,59.5,11.96,1
455,7.25,1.87,34.2,41.69,7.49,1
456,8.32,1.67,25.13,32.15,7.02,1
457,12.03,1.75,23.61,29.91,6.3,1
458,7.4,1.9,28.94,34.61,5.67,1
459,6.43,2.14,35.2,40.21,5.01,1
460,4.6,2.23,48.88,54.52,5.64,1
461,11.51,2.37,48.03,53.31,5.28,2
462,23.46,2.4,58.32,67.16,8.84,2
463,22.92,2.38,87.06,111.27,24.21,2
464,23.3,1.99,81.74,101.03,19.29,2
465,27.32,1.87,73.05,97.85,24.8,2
466,19.18,1.62,83.95,106.11,22.16,2
467,23.57,1.95,93.71,136.23,42.52,2
468,17.54,1.99,76.54,98.42,21.88,2
469,13.06,3.05,71.83,88.7,16.87,2
470,36.42,2.68,48.57,54.62,6.05,2
471,25.65,2.59,72.51,90.78,18.27,2
472,23.87,2.18,72.32,100.97,28.65,3
473,17.7,3.16,107.12,179.79,72.67,3
474,30.5,4.34,163.06,316.85,153.79,2
475,37.5,2.91,26.69,34.54,7.85,2
476,35.85,2.64,28.43,35.85,7.42,2
477,25.27,2.5,42.6,52.15,9.55,2
478,33.13,2.41,68.54,80.94,12.4,3
479,36.22,2.46,109.34,150.08,40.74,2
480,29.06,2.01,72.96,82.95,9.99,2
481,29.98,1.94,75.02,83.59,8.57,2
482,32.46,1.83,80.76,98.74,17.98,2
483,30.0,1.66,67.76,77.27,9.51,2
484,34.51,2.26,86.51,143.43,56.92,3
485,30.02,2.29,107.36,153.14,45.78,3
486,34.85,2.44,132.95,222.18,89.23,3
487,28.06,2.8,149.79,271.46,121.67,3
488,33.01,3.52,132.63,235.43,102.8,3
489,40.02,4.27,129.78,226.05,96.27,3
490,37.39,4.84,113.68,185.7,72.02,3
491,62.75,8.85,28.31,36.4,8.09,3
492,55.89,5.27,25.57,31.1,5.53,2
493,47.41,4.37,36.73,44.04,7.31,3
494,50.11,3.06,49.96,60.16,10.2,2
495,36.65,2.74,50.43,60.18,9.75,2
496,47.52,2.57,56.6,68.88,12.28,2
