,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3
4667,,,,,351.4,
4668,,,,317.89,,
4669,,,,,,4.16
4670,,,205.54,,,
4671,133.02,,,,,
4672,,13.71,,,,
4673,,,,,,3.35
4674,,,129.0,,,
4675,90.39,8.8,83.67,159.86,76.19,3.08
4676,,,,,,3.18
4677,,,,,35.99,
4678,,,,,,3.1
4679,,,,,,3.36
4680,,6.82,,,,
4681,,,,,265.91,
4682,,18.72,,,,
4683,,,,,33.17,
4684,,,,54.25,,
4685,,,,,18.32,
4686,,,,,17.76,
4687,,,,,15.92,
4688,,10.92,,,,
4689,,,,,21.03,
4690,,,,,188.89,
4691,72.81,,,,,
4692,,,,407.32,,
4693,,11.38,,,,
4694,143.02,,,,,
4695,,,167.8,,,
4696,,,147.82,,,
4697,111.6,,,,,
4698,,,,87.5,,
4699,,,,195.65,,
4700,,,,,,3.33
4701,,,,,89.74,
4702,,6.07,,,,
4703,,,216.94,,,
4704,,,,356.19,,
4705,,,106.68,,,
4706,,13.37,,,,
4707,119.6,,,,,
4708,,,,,,21.61
4709,,,,,,22.23
4710,,,,,18.43,
4711,,,,,102.56,
4712,,,,,113.9,
4713,,,,,202.61,
4714,,11.1,,,,
4715,,,161.25,,,
4716,,9.6,,,,
4717,,,137.69,,,
4718,,,,,133.61,
4719,,7.03,,,,
4720,,,108.93,,,
