,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO
953,22.9,4.92,1.09,51.43,66.04,14.6
954,,4.34,,,,
955,13.03,,,,,
956,,,,,,40.07
957,,,,,103.11,
958,,,,,111.23,
959,,,1.09,,,
960,,,,,,12.08
961,,,,,,8.72
962,,,,55.18,,
963,27.28,,,,,
964,,,,95.49,,
965,,,,139.24,,
966,,4.18,,,,
967,,,,32.92,,
968,,,0.9,,,
969,,,1.02,,,
970,42.14,,,,,
971,,4.64,,,,
972,,,,,,20.86
973,,,,,70.23,
974,,,,,,24.76
975,21.37,,,,,
976,,,,,,33.42
977,,,0.93,,,
978,,,,102.81,,
979,,,0.69,,,
980,,,0.41,,,
981,12.17,,,,,
982,10.49,,,,,
983,,,,,54.21,
984,,,,,,22.83
985,,,,,,57.91
986,,5.72,,,,
987,,5.58,,,,
988,,5.32,,,,
989,,,,61.82,,
990,,,1.04,,,
991,,,,,42.91,
992,37.61,,,,,
993,,,,,58.88,
994,,,,34.32,,
995,22.78,,,,,
996,,,,,,9.06
997,24.48,,,,,
998,,,,,,7.89
999,,,,,,8.85
1000,11.28,,,,,
1001,,3.77,,,,
1002,,,0.81,,,
1003,,,1.15,,,
1004,,,,,41.71,
1005,,,1.04,,,
1006,,,,25.14,,
1007,,,,31.29,,
1008,,,,,35.41,
1009,,,,48.57,,
1010,,,,,67.33,
1011,30.92,,,,,
1012,,,,,61.12,
1013,,,1.29,,,
1014,,5.56,,,,
1015,,,,,35.38,
1016,,,,,,12.84
1017,,,1.4,,,
1018,,,,,23.94,
1019,,,1.14,,,
1020,,3.65,,,,
1021,,,1.04,,,
1022,,,,,28.04,
1023,,,1.16,,,
1024,,,,33.76,,
1025,,,,,57.12,
1026,,,1.28,,,
1027,,,,,,10.75
1028,,,0.4,,,
1029,9.65,3.79,0.44,33.73,42.11,8.38
1030,,,,,,8.52
1031,,3.69,,,,
1032,,,,,,11.5
1033,,4.29,,,,
1034,,,,,,15.84
1035,,,0.45,,,
1036,,,,,34.07,
1037,,,,,,16.39
1038,22.08,,,,,
1039,,,,23.18,,
1040,,,,18.7,,
1041,,,,,40.71,
1042,,,0.79,,,
1043,10.24,,,,,
1044,,4.65,,,,
1045,,,,44.17,,
1046,,,,47.49,,
1047,,,,,,8.05
1048,,,,,31.68,
1049,7.34,,,,,
1050,,,1.5,,,
1051,,5.1,,,,
1052,,,,24.81,,
1053,,,,,,6.25
1054,,,0.94,,,
1055,,,,,35.28,
1056,,,,,38.67,
1057,,,,,,15.82
1058,,,,24.9,,
1059,,,,,,10.88
1060,,,,,,11.2
1061,,,,15.38,,
1062,,5.69,,,,
1063,,,1.01,,,
1064,,,,18.0,,
1065,,5.23,,,,
1066,,,,,,12.98
1067,,,,,,10.58
1068,,,1.01,,,
1069,,3.71,,,,
1070,3.74,,,,,
1071,,,,,,15.55
1072,,,,,,10.01
1073,,4.51,,,,
1074,17.01,,,,,
1075,,5.5,,,,
1076,11.88,,,,,
1077,,,,21.43,,
1078,,4.43,,,,
1079,,,0.92,,,
1080,31.54,,,,,
1081,,,,,48.87,
1082,,,,32.43,,
1083,,,,,38.01,
1084,26.47,,,,,
1085,22.17,,,,,
1086,53.05,,,,,
1087,,,,,,8.69
1088,,4.7,,,,
1089,,4.74,,,,
1090,,,,,34.23,
1091,,,,25.78,,
1092,,,0.82,,,
1093,10.43,,,,,
1094,10.01,,,,,
1095,,,,53.22,,
1096,,,1.04,,,
1097,,,,78.52,,
1098,,,,,59.13,
1099,9.0,,,,,
1100,,,0.53,,,
1101,5.96,,,,,
1102,,,,84.38,,
1103,,4.35,,,,
1104,,,,,,45.49
1105,,,1.61,,,
1106,,,1.32,,,
1107,,,,24.18,,
1108,,5.08,,,,
1109,,,,19.92,,
1110,18.17,,,,,
1111,,4.69,,,,
1112,,,0.73,,,
1113,,,,25.47,,
1114,7.19,,,,,
1115,,,,,130.63,
1116,,4.7,,,,
1117,8.67,,,,,
1118,,,,,220.89,
1119,,,,,146.88,
1120,,,,,122.49,
1121,,,0.62,,,
1122,,,,58.98,,
1123,,6.81,,,,
1124,,6.13,,,,
1125,,,1.58,,,
1126,,,,67.76,,
1127,,,,,,10.63
1128,,,1.01,,,
1129,,,,15.97,,
1130,,5.01,,,,
1131,,,,,47.51,
1132,,4.92,,,,
1133,,,,,,7.04
1134,,,,,,6.91
1135,,,,,,7.29
1136,,,,,,7.2
1137,,,,,,5.71
1138,,,,,,7.33
1139,,5.09,,,,
1140,,,,,,12.39
1141,,,,57.1,,
1142,,5.36,,,,
1143,8.58,,,,,
1144,,,,,52.52,
1145,,,,26.87,,
1146,19.1,,,,,
1147,32.99,,,,,
1148,,5.21,,,,
1149,,5.62,,,,
1150,,,,16.52,,
1151,26.93,,,,,
1152,,,,,31.85,
1153,,,,,,18.84
1154,,4.26,,,,
1155,,4.01,,,,
1156,,,,,122.95,
1157,,,2.93,,,
1158,,,2.69,,,
1159,,,2.29,,,
1160,,,,,80.83,
1161,,,,,,20.31
1162,39.17,,,,,
1163,16.93,,,,,
1164,,6.66,,,,
1165,,5.56,,,,
1166,,,,24.62,,
1167,,,,,31.12,
1168,,,,,,13.31
1169,,4.63,,,,
1170,5.66,4.79,1.44,22.27,29.72,7.45
1171,,,,,,9.66
1172,7.59,,,,,
1173,,,,35.76,,
1174,,,1.7,,,
1175,,3.38,,,,
1176,,3.26,,,,
1177,,,1.58,,,
1178,,,1.57,,,
1179,6.4,,,,,
1180,,,,15.36,,
1181,,,,,,6.94
1182,,,1.46,,,
1183,,,,,51.4,
1184,,,1.61,,,
1185,,4.2,,,,
1186,27.06,,,,,
1187,,,,,,34.32
1188,,,,,119.84,
1189,,,1.62,,,
1190,,,,,,17.66
1191,21.95,,,,,
1192,,,1.58,,,
1193,12.43,,,,,
1194,,,,,,10.84
1195,,,,10.17,,
1196,4.02,,,,,
1197,,,,,38.32,
1198,,,,54.06,,
1199,,,1.53,,,
1200,,,1.69,,,
1201,,,,,,6.49
1202,,,,,36.39,
1203,,,,30.13,,
1204,4.8,,,,,
1205,,,,27.65,,
1206,,3.08,,,,
1207,,,,,33.17,
1208,,,,,,4.43
1209,,,,,,7.27
1210,,,,28.79,,
1211,7.02,,,,,
1212,,,,16.69,,
