,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO,OUT
476,36.14,10.57,5.19,18.18,24.84,6.66,1
477,20.28,6.94,5.05,19.15,26.37,7.22,1
478,12.87,6.05,4.89,20.5,27.31,6.81,2
479,20.89,6.74,5.48,84.76,109.17,24.41,2
480,18.68,6.81,3.17,53.32,63.66,10.34,3
481,20.1,8.72,3.49,104.26,154.55,50.29,2
482,35.03,6.42,3.41,96.62,135.1,38.48,2
483,30.94,9.83,3.32,81.08,101.64,20.56,2
484,40.72,9.36,3.44,74.91,91.97,17.06,2
485,38.36,17.7,3.7,88.93,122.63,33.7,2
486,46.73,16.7,4.88,88.85,137.52,48.67,3
487,57.17,26.9,5.51,71.64,101.78,30.14,2
488,49.66,18.52,6.12,73.65,105.41,31.76,2
489,45.56,29.78,5.79,80.41,128.99,48.58,3
490,45.95,19.15,8.16,117.77,225.4,107.63,3
