,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
1090,,,1.62,,,,
1091,,,,,30.07,,
1092,,,1.72,,,,
1093,7.46,,,,,,
1094,7.24,,,,,,
1095,,3.74,,,,,
1096,,,,59.55,,,
1097,,,,,,12.47,
1098,,,,,,,23.34
1099,,3.86,,,,,
1100,,,,,,,34.57
1101,,,,,,4.1,
1102,,,1.52,,,,
1103,,,,,94.08,,
1104,,,,,,,35.89
1105,,3.58,,,,,
1106,,,,42.59,,,
1107,,,,,,9.95,
1108,,,,,,8.11,
1109,,,,32.37,,,
1110,,,,,,,89.61
1111,,,,,39.56,,
1112,,,,,,,95.67
1113,,,2.09,,,,
1114,,,,,,8.9,
1115,,3.94,,,,,
1116,,,2.1,,,,
1117,,,,,,77.0,
1118,,,,,,,4.92
1119,,9.6,,,,,
1120,,10.71,,,,,
