,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
4293,116.81,,,,,,
4294,123.38,,,,,,
4295,,,,,,,27.23
4296,,,,78.7,,,
4297,,,,,,,33.38
4298,,,,,,33.9,
4299,96.91,,,,,,
4300,109.85,,,,,,
4301,,,,189.76,,,
4302,,31.65,,,,,
4303,,,,229.24,,,
4304,,,,,,275.36,
4305,,,,,,172.11,
4306,,,,,,,15.93
4307,,,,95.3,,,
4308,,,,,,58.65,
4309,,,,,,53.18,
4310,,,4.66,,,,
4311,,,4.68,,,,
4312,77.82,,,,,,
4313,,,,,171.49,,
4314,,26.78,,,,,
4315,,,,,433.98,,
4316,,,,,,205.05,
4317,,,5.75,,,,
4318,,,,,125.51,,
4319,,,,,,,30.24
4320,,22.04,,,,,
4321,,,,50.24,,,
4322,,,,51.83,,,
4323,,8.16,,,,,
4324,,,,,138.75,,
4325,25.65,,,,,,
4326,,,,,363.52,,
4327,,,,,,160.94,
4328,,,,140.35,,,
4329,,,5.96,,,,
4330,,,,,283.18,,
4331,75.69,,,,,,
4332,,,,,,21.22,
4333,,,,,,77.05,
4334,,,4.28,,,,
4335,50.95,,,,,,
4336,,,,,82.08,,
4337,,,,,,,18.41
4338,,,,,,96.08,
4339,,,,,,264.37,
4340,,,4.25,,,,
4341,,,,98.19,,,
4342,45.45,,,,,,
4343,,,,,,,34.6
4344,,,4.76,,,,
4345,,,,,,,34.84
4346,,,5.02,,,,
4347,,,,,93.37,,
4348,,,4.93,,,,
4349,,,,216.88,,,
4350,,,6.86,,,,
4351,,,,,,296.54,
4352,114.79,,,,,,
4353,,,,,128.76,,
4354,,,,55.53,,,
4355,,,,,,8.45,
4356,,12.06,,,,,
4357,32.24,,,,,,
4358,,,,38.92,,,
4359,,5.0,,,,,
4360,,5.83,,,,,
4361,,,3.57,,,,
4362,20.04,,,,,,
4363,,,4.84,,,,
4364,,3.22,,,,,
4365,,,,60.42,,,
4366,,,,46.64,,,
4367,130.13,,,,,,
4368,,,4.47,,,,
4369,75.54,,,,,,
4370,,,4.72,,,,
4371,,,,,,,47.02
4372,54.7,,,,,,
4373,33.25,,,,,,
4374,,,,,,,62.01
4375,,,3.85,,,,
4376,12.36,,,,,,
4377,,,,,,,63.44
4378,,,,,,5.76,
4379,,,,,,5.65,
4380,,,,,14.47,,
4381,,,,,14.51,,
4382,,,,,,,65.1
4383,,,,,14.52,,
4384,,1.33,,,,,
4385,,,,,,5.93,
4386,,5.11,,,,,
4387,,3.87,,,,,
4388,,,,,26.04,,
4389,,2.51,,,,,
4390,,,,,,,58.76
4391,6.06,,,,,,
4392,,,,,,10.44,
4393,2.97,,,,,,
4394,,,,,30.57,,
4395,1.45,,,,,,
4396,,,,,,7.59,
4397,,,,,,,44.49
4398,,,,,,,46.15
4399,,0.17,,,,,
4400,1.18,,,,,,
4401,,,,,28.47,,
4402,,,,,,5.5,
4403,,,,,,5.31,
4404,,,,,,5.31,
4405,,,,,24.48,,
4406,1.84,,,,,,
4407,,,,,35.47,,
4408,,,,,,,30.79
4409,,,,66.22,,,
4410,,,3.82,,,,
4411,,0.56,,,,,
4412,,,4.54,,,,
4413,,0.74,,,,,
4414,,,3.95,,,,
4415,,,,,52.74,,
4416,14.6,,,,,,
4417,10.62,,,,,,
4418,,,4.93,,,,
4419,,0.88,,,,,
4420,,,,49.89,,,
4421,,,,,46.15,,
4422,,,,,,,43.34
4423,,,,,,8.42,
4424,3.08,,,,,,
4425,,0.1,,,,,
4426,3.14,,,,,,
4427,,0.05,,,,,
4428,,,,,,9.91,
4429,,,,,,8.06,
4430,,,,,,,18.15
4431,,,3.76,,,,
4432,,,,,,,19.49
4433,,,5.97,,,,
4434,,,,,,120.69,
4435,,,12.98,,,,
4436,,,,,,40.3,
4437,75.26,,,,,,
4438,,,,,,,48.86
4439,,,,,,27.81,
4440,,,6.07,,,,
4441,,6.79,,,,,
4442,,11.28,,,,,
4443,,,6.73,,,,
4444,,,,,116.0,,
4445,100.18,,,,,,
4446,,,,,54.1,,
4447,,,,,,,43.6
4448,,,,,,12.1,
4449,,,4.16,,,,
4450,30.55,,,,,,
4451,,,4.29,,,,
4452,,,,,23.54,,
4453,11.73,,,,,,
4454,,,,,,9.23,
4455,,,,,,8.55,
4456,,1.7,,,,,
4457,,,,,107.41,,
4458,,,8.79,,,,
4459,,,,,,,38.08
4460,,,7.99,,,,
4461,,,,,,31.89,
4462,,,,,,31.36,
4463,,,,,109.55,,
4464,,,,,134.11,,
4465,,,,,94.67,,
4466,,,,,,33.29,
4467,,,,,,34.17,
4468,,,,48.53,,,
4469,,,,35.05,,,
4470,,,,,,,35.17
4471,28.91,,,,,,
4472,21.14,,,,,,
4473,,7.32,,,,,
4474,,,,,,,50.51
4475,,,3.85,,,,
4476,,,,,,6.8,
4477,3.92,2.28,3.74,19.44,26.4,6.97,42.69
4478,,,3.75,,,,
4479,3.15,1.26,3.78,50.03,71.04,21.01,35.51
4480,,,4.01,,,,
4481,7.31,,,,,,
4482,,,,,99.36,,
4483,,,,,,24.47,
4484,,,,,373.96,,
4485,256.42,,,,,,
4486,161.94,,,,,,
4487,,,,,,89.59,
4488,,,,,202.36,,
4489,,,,,,,16.51
4490,62.25,,,,,,
4491,,,,,,48.89,
4492,,,,,74.63,,
4493,,,,46.54,,,
4494,42.15,,,,,,
4495,,,3.03,,,,
4496,,6.01,,,,,
4497,,,,231.66,,,
4498,,,,236.25,,,
4499,,,,,,,24.0
4500,,,6.76,,,,
4501,,45.53,,,,,
4502,98.29,,,,,,
4503,,,,62.09,,,
4504,,,,,,,43.12
4505,,,4.43,,,,
4506,,,6.56,,,,
4507,74.68,,,,,,
4508,108.8,,,,,,
4509,,35.31,,,,,
4510,,47.94,,,,,
4511,,,5.25,,,,
4512,,,,,,,16.14
4513,,,4.42,,,,
4514,,,,,,,16.73
4515,75.5,,,,,,
4516,,,3.67,,,,
4517,,36.37,,,,,
4518,,,,184.39,,,
4519,,32.67,,,,,
4520,,,,,,,18.73
4521,,,6.42,,,,
4522,,,,,,,34.75
4523,,,7.2,,,,
4524,,,,63.83,,,
4525,,,6.42,,,,
4526,,,,,,42.65,
4527,,32.75,,,,,
4528,94.2,,,,,,
4529,,,,,,,17.03
4530,,,,71.48,,,
4531,,,4.36,,,,
4532,,,,,,,16.37
4533,,,3.77,,,,
4534,,17.05,,,,,
4535,,,,,,,20.16
4536,,,,,,7.67,
4537,,,,,69.4,,
4538,,,,,74.7,,
4539,,,3.06,,,,
4540,23.98,,,,,,
4541,28.64,,,,,,
4542,,,,,,,16.98
4543,,,,131.12,,,
4544,,,6.3,,,,
4545,46.46,,,,,,
4546,,,,76.89,,,
4547,,,6.08,,,,
4548,,,4.61,,,,
4549,,,4.22,,,,
4550,,12.84,,,,,
4551,,,,116.86,,,
4552,,,,,,,17.57
4553,,,5.86,,,,
4554,107.49,,,,,,
4555,,,5.34,,,,
4556,,,5.8,,,,
4557,,,4.68,,,,
4558,,,,,,,19.48
4559,,,,,,32.6,
4560,,,,63.27,,,
4561,,10.77,,,,,
4562,,8.22,,,,,
4563,,6.45,,,,,
4564,,,3.52,,,,
4565,,,,50.68,,,
4566,,,5.68,,,,
4567,,,,,176.49,,
4568,,,,,129.18,,
4569,,,7.84,,,,
4570,,,,,,40.3,
4571,,42.2,,,,,
4572,,,,,,,20.49
4573,60.44,,,,,,
4574,,,,,140.19,,
4575,,,,,,23.57,
4576,,,,,,,54.19
4577,,,,,,5.93,
4578,,,,,,,57.94
4579,,,,,,,71.92
4580,,,,,,,67.55
4581,,,,,,3.76,
4582,,,3.36,,,,
4583,,,3.14,,,,
4584,,,,18.56,,,
4585,3.58,,,,,,
4586,,1.36,,,,,
4587,,,,,,,22.28
4588,,,4.01,,,,
4589,,,,,,25.19,
4590,,,,,,26.15,
4591,,,,101.78,,,
4592,35.86,,,,,,
4593,,,,,,29.86,
4594,,,3.93,,,,
4595,,,,93.47,,,
4596,,3.9,,,,,
4597,,,,,,,24.18
4598,,,,,,20.07,
4599,,,3.14,,,,
4600,9.22,,,,,,
4601,,1.09,,,,,
4602,,,3.42,,,,
4603,,,,,,,26.88
4604,,,,,,,26.03
4605,,,,17.0,,,
4606,1.08,,,,,,
4607,,,,,20.64,,
4608,,,2.64,,,,
4609,,,,,,,25.2
4610,,,2.92,,,,
4611,,,,,,10.18,
4612,,,,,,,19.89
4613,,,,,,14.29,
4614,,,,,41.06,,
4615,,,,,,,31.54
4616,,,3.84,,,,
4617,,,,23.72,,,
4618,,,,,37.37,,
4619,,,3.46,,,,
4620,,,3.59,,,,
4621,,,,,106.23,,
4622,,,3.4,,,,
4623,,0.62,,,,,
4624,,,3.42,,,,
4625,,,,,,,20.61
4626,,,3.31,,,,
4627,,0.23,,,,,
4628,,,4.59,,,,
4629,,,,83.49,,,
4630,,1.05,,,,,
4631,,,,60.23,,,
4632,,,,,138.56,,
4633,,,,,,81.96,
4634,,,,,186.1,,
4635,,,6.14,,,,
4636,,,,146.92,,,
4637,,,,,,201.77,
4638,59.61,,,,,,
4639,,40.65,,,,,
4640,,,7.27,,,,
4641,,,,,173.72,,
4642,,,,,225.12,,
4643,89.73,,,,,,
4644,,,,,255.92,,
4645,,,,,,135.49,
4646,83.48,,,,,,
4647,,,,,92.24,,
4648,,,,,,391.44,
4649,,,7.17,,,,
4650,,,,,579.79,,
4651,,,5.7,,,,
4652,,43.42,,,,,
4653,,,3.9,,,,
4654,,,,,,,16.14
4655,,,,,,18.98,
4656,,,,,,,17.95
4657,,,3.3,,,,
4658,,,,47.66,,,
4659,,,,,123.17,,
4660,,,,,,,16.74
4661,,,,,643.05,,
4662,,,7.99,,,,
4663,,,,,81.13,,
4664,,,6.68,,,,
4665,33.07,,,,,,
4666,,,,,,,17.95
4667,,21.03,,,,,
4668,,,,236.86,,,
4669,,,,195.7,,,
4670,,,,178.49,,,
4671,,,,,449.77,,
4672,,59.61,,,,,
4673,,,6.3,,,,
4674,,,5.33,,,,
4675,,,,,,,15.48
4676,,,4.32,,,,
4677,,,,,,,16.28
4678,,45.79,,,,,
4679,,,,,,331.41,
4680,,,,,,576.92,
4681,,,,,,504.41,
4682,,,,,,,18.07
4683,,100.62,,,,,
4684,181.11,,,,,,
4685,,,,,152.01,,
4686,,,,,105.09,,
4687,,,6.0,,,,
4688,,,,,,23.0,
4689,,,,197.85,,,
4690,97.92,,,,,,
4691,,,,,716.98,,
4692,,,,,,162.2,
4693,,,,,,265.03,
4694,,69.72,,,,,
4695,,,,,,,16.26
4696,,,6.62,,,,
4697,109.89,,,,,,
4698,,63.55,,,,,
4699,,,,,361.34,,
4700,99.18,,,,,,
4701,,,,,,,16.1
4702,,49.63,,,,,
4703,,,7.41,,,,
4704,136.67,,,,,,
4705,,63.48,,,,,
4706,171.87,,,,,,
4707,,,,,287.59,,
4708,,,9.92,,,,
4709,,,,,130.37,,
4710,,,,,,,29.8
4711,,,,,,147.19,
4712,,,,284.6,,,
4713,,,,197.82,,,
4714,,,,,,440.89,
4715,,5.42,,,,,
4716,,3.79,,,,,
4717,,,6.38,,,,
4718,,,,212.83,,,
4719,,,,,455.72,,
4720,,0.91,,,,,
