,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,OUT
367,31.0,7.86,3.55,1337.48,12.95,2
368,31.6,7.4,3.87,1381.72,12.98,2
369,37.2,5.18,4.11,1416.91,11.6,2
370,31.4,4.02,3.68,1537.18,10.55,2
371,38.0,7.19,3.68,1551.72,9.87,2
372,34.5,5.03,3.2,1577.59,9.97,2
373,42.1,3.52,3.35,1560.86,10.44,2
374,39.6,2.8,3.44,1631.7,9.38,2
375,35.6,5.95,3.41,1675.99,9.36,2
376,36.7,7.91,2.97,1768.17,7.74,2
377,45.9,5.54,3.32,1768.61,7.78,2
378,40.2,3.96,3.27,1669.22,8.99,2
379,35.0,3.86,3.26,1611.68,7.95,2
380,37.1,4.18,3.12,1566.93,9.9,2
381,36.9,3.81,2.93,1502.84,9.46,2
382,43.7,6.04,2.92,1464.89,8.56,2
383,37.0,12.63,2.92,1509.02,7.55,2
384,42.3,9.59,3.5,1819.13,6.59,2
385,47.1,15.64,3.89,2224.08,6.53,3
386,55.8,18.64,4.52,2201.3,7.07,3
387,56.6,17.83,4.38,2056.77,8.61,3
388,59.0,23.82,5.45,1906.76,10.68,3
389,63.1,28.73,5.11,1833.7,11.37,3
390,60.0,23.98,5.11,1765.74,13.44,3
391,52.0,17.1,4.59,1696.81,13.46,2
392,45.5,16.15,4.84,1655.56,12.75,2
393,43.1,19.02,5.05,1672.59,11.33,2
394,44.3,17.54,4.85,1699.1,10.61,3
395,50.8,13.69,5.94,1767.37,8.66,3
396,50.0,9.58,7.11,2032.05,7.14,3
397,52.1,7.0,6.77,2024.45,7.44,3
398,63.0,8.23,7.42,2189.43,6.72,3
399,56.9,7.74,5.07,2166.7,5.81,3
400,53.7,7.84,4.8,1982.72,6.2,3
401,55.4,10.06,3.99,1953.62,6.85,2
402,49.2,7.05,3.91,1940.41,6.01,3
403,58.1,5.53,4.0,1843.32,6.98,3
404,52.2,9.57,3.75,1737.02,7.39,2
405,44.2,7.08,3.4,1684.12,6.5,2
406,39.0,6.73,3.42,1759.64,5.86,2
407,39.2,4.71,3.5,1829.77,5.79,2
408,33.4,3.41,3.79,1985.59,5.99,3
409,53.3,3.71,4.46,2265.96,6.41,3
410,64.0,5.95,5.3,2564.25,6.55,3
411,77.7,31.47,4.93,2389.61,7.88,3
412,87.1,36.98,4.77,2075.36,10.65,3
413,69.1,31.79,4.6,1513.25,10.64,3
414,61.5,22.26,4.79,1626.09,11.24,3
415,60.6,15.86,4.85,1699.3,10.14,3
416,57.7,14.7,4.71,1733.63,9.33,2
417,47.6,16.31,4.54,1856.97,8.24,3
418,54.2,11.46,4.83,2069.43,7.26,2
419,37.8,8.68,4.38,2207.24,6.59,3
420,51.5,8.28,4.66,2293.35,6.07,3
421,56.5,6.28,4.4,2174.56,6.62,2
422,44.8,4.39,4.48,1944.25,8.85,2
423,48.5,3.08,4.02,2018.87,6.93,2
424,41.4,2.31,4.0,1881.86,8.62,2
425,30.6,2.83,3.9,1627.89,10.37,1
426,22.7,6.61,3.41,1548.37,10.6,1
427,23.5,4.92,3.11,1486.2,11.37,2
428,32.3,6.68,3.43,1584.32,12.08,2
429,27.4,4.71,3.67,1528.49,10.18,2
430,36.3,3.64,3.42,1697.82,8.61,2
431,45.3,3.55,3.55,2033.49,7.42,3
432,59.4,13.65,3.74,2122.25,7.76,3
433,60.6,12.19,3.93,1992.63,8.52,3
434,58.4,14.05,4.17,1899.23,9.0,3
435,60.6,17.03,4.13,1938.58,9.02,3
436,57.6,16.99,4.1,1913.33,9.54,2
437,46.9,12.15,3.74,1835.08,10.64,2
438,47.0,8.99,3.93,1766.38,10.57,3
439,50.9,6.33,3.89,1695.93,10.46,2
440,38.2,4.83,3.79,1737.48,9.64,2
441,36.6,3.38,3.96,1818.52,8.51,2
442,37.8,2.36,3.39,1814.94,7.82,2
443,29.9,1.66,3.5,1657.03,9.72,2
444,25.7,1.16,3.29,1752.87,8.7,1
445,20.1,0.81,3.15,1746.71,9.0,1
446,20.1,0.6,3.24,1834.94,9.25,2
447,26.7,0.82,3.11,1755.88,11.55,1
448,19.1,0.58,3.4,1661.15,9.81,1
449,18.2,0.45,3.45,1545.58,10.93,1
450,14.1,0.8,3.19,1505.97,11.57,1
451,15.5,0.56,3.07,1542.3,11.17,1
452,11.7,0.39,3.07,1463.14,10.73,1
453,8.9,0.27,2.83,1465.44,9.48,2
454,27.1,0.32,4.32,2039.84,8.57,2
455,37.9,1.29,4.0,1954.29,9.25,2
456,30.5,6.4,3.46,1886.86,9.48,2
457,27.1,6.43,3.32,1863.09,10.09,2
458,31.0,3.16,3.51,2006.95,8.76,2
459,38.5,2.27,3.94,2296.85,6.98,2
460,44.1,2.27,4.2,2444.29,7.36,2
461,42.1,1.91,3.93,2325.57,7.77,2
462,44.2,3.28,3.85,2392.91,6.03,2
463,42.1,2.61,3.83,2405.41,5.61,2
464,43.5,5.14,4.63,2887.71,5.7,3
465,76.4,6.05,4.4,2979.94,5.76,3
466,72.6,14.71,4.14,2907.7,5.87,3
467,76.2,22.21,3.8,2764.28,5.75,3
468,63.2,16.01,3.72,2687.35,5.74,3
469,54.2,16.23,3.2,2410.93,5.8,3
470,53.6,14.47,3.51,2509.65,5.73,2
471,48.6,10.34,3.81,2808.81,5.86,3
472,54.5,9.98,3.39,2659.23,5.91,2
473,48.3,13.94,4.28,2803.49,6.4,3
474,68.8,16.39,4.11,2688.48,7.26,3
475,53.1,9.13,4.68,1826.17,10.79,2
476,47.5,12.44,4.67,1939.7,9.95,2
477,37.2,9.3,4.75,2067.91,8.32,2
478,36.2,6.51,4.67,2358.24,6.16,3
479,74.0,4.17,4.28,2538.88,5.76,3
480,59.0,4.77,3.59,2246.94,6.45,3
481,57.7,3.85,3.88,2053.21,7.2,3
482,50.6,8.05,3.18,1961.33,7.67,3
483,50.0,6.55,3.03,1920.01,6.96,2
484,40.5,6.22,3.61,2048.75,6.06,3
485,50.4,11.68,2.95,2148.08,6.14,3
486,52.1,8.39,3.29,2392.96,6.03,2
487,49.3,8.56,4.16,2670.36,5.89,3
488,53.7,10.7,4.49,2835.83,6.29,3
489,61.0,10.37,5.59,2994.46,6.81,4
490,101.7,33.88,6.96,2702.54,8.48,3
491,83.2,17.57,6.59,2256.28,9.31,3
492,71.7,16.93,5.62,2125.15,7.98,3
493,66.6,11.85,4.79,2123.68,7.21,3
494,56.7,8.33,4.65,2184.07,6.96,3
495,53.7,6.26,4.79,2270.11,6.98,2
496,49.3,4.69,4.55,2298.79,7.04,2
497,41.0,3.34,4.08,2195.84,7.26,2
498,29.8,2.92,3.92,2046.96,7.89,1
499,22.1,2.04,4.01,2030.73,7.69,1
500,19.5,1.43,3.96,2099.86,6.41,3
501,83.2,33.4,5.46,2857.15,9.26,3
502,81.7,40.09,5.26,2642.47,10.28,3
503,71.9,37.39,5.35,2435.46,12.52,2
504,45.1,9.43,5.3,2015.15,10.01,2
505,44.1,7.45,6.13,2115.18,8.67,2
506,46.6,13.55,7.44,2461.82,6.79,3
507,51.9,11.89,6.63,2374.44,6.32,3
508,57.2,15.44,6.87,2324.04,7.21,3
509,55.0,16.64,6.58,2234.03,7.9,3
510,50.8,12.62,6.54,2361.98,6.24,3
511,56.9,15.41,6.0,2244.97,7.17,3
512,55.0,13.82,5.27,2036.74,9.72,2
513,43.6,11.39,4.63,1846.82,11.11,2
514,43.8,8.3,4.24,1750.3,10.45,2
515,31.1,5.81,3.99,1662.58,10.47,1
516,24.8,4.06,3.96,1576.68,11.96,2
517,28.0,2.88,3.59,1632.02,9.01,2
518,25.8,2.31,3.56,1766.45,6.4,2
519,42.7,2.23,4.05,1941.78,6.47,2
520,47.7,9.45,4.85,2297.72,7.9,3
521,62.7,26.13,4.77,1867.41,13.33,3
522,53.6,21.25,4.94,1830.13,12.91,3
523,52.2,18.62,4.78,1876.13,11.94,2
524,40.9,13.56,5.26,2044.6,10.81,2
525,35.1,11.47,5.58,2262.09,8.18,2
526,39.2,9.73,5.89,2792.88,5.38,3
527,55.4,11.66,5.59,2529.0,6.32,2
528,47.2,9.51,4.77,2309.45,8.02,2
529,42.8,6.66,5.01,2271.35,8.1,2
530,44.8,4.76,5.2,2532.14,6.08,2
531,39.1,5.14,5.72,2752.85,6.06,2
532,38.3,11.42,5.07,2777.01,5.75,2
533,45.1,9.27,5.02,2793.33,5.65,3
534,53.2,11.23,4.49,2599.66,5.59,2
535,48.1,8.55,4.33,2467.76,5.44,2
536,45.8,9.93,4.31,2411.65,5.35,2
537,43.9,14.33,4.47,2450.46,5.92,2
538,34.6,10.17,3.99,2461.17,6.36,2
539,47.1,9.37,4.17,2237.85,7.88,2
540,40.7,15.38,4.4,2101.45,7.75,2
541,41.3,16.96,4.53,2012.11,9.55,2
542,39.1,25.38,4.9,1954.95,10.42,2
543,49.0,29.39,5.46,1947.76,10.63,2
544,42.5,14.05,5.0,2301.75,7.98,3
545,53.5,16.02,5.04,2088.98,8.94,3
546,63.2,20.0,5.3,2101.66,9.12,3
547,54.6,25.0,6.0,1810.42,11.9,2
548,49.2,19.42,6.11,1823.19,10.84,3
549,50.5,13.6,5.96,1723.83,9.97,2
550,38.8,9.5,6.16,2040.76,6.74,2
551,49.1,7.69,7.4,2629.18,6.23,3
552,58.6,15.52,7.62,3014.96,6.39,3
553,81.7,18.63,8.09,3227.2,6.53,3
554,89.9,24.24,8.58,3591.03,5.45,3
555,71.4,15.19,6.73,2932.07,5.73,4
