,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO
396,23.33,5.65,5.11,22.64,30.14,7.5
397,12.61,11.2,4.68,32.28,39.39,7.11
398,23.11,18.07,3.05,35.01,40.39,5.38
399,23.91,19.7,6.94,58.84,69.12,10.28
400,27.6,17.42,6.78,57.9,65.61,7.71
401,24.5,10.21,4.11,70.99,84.8,13.81
402,24.41,6.32,3.9,101.93,159.13,57.2
403,44.4,4.15,3.98,117.26,185.22,67.96
404,40.37,9.34,4.59,85.63,115.39,29.76
405,31.95,6.03,5.22,70.45,85.65,15.2
406,36.41,16.47,4.08,45.85,51.38,5.53
407,34.9,12.18,11.07,37.15,40.8,3.65
408,21.43,6.94,6.29,43.28,48.51,5.23
409,20.37,5.82,6.14,66.2,85.55,19.35
410,21.53,6.51,10.14,98.45,164.47,66.02
411,36.97,4.12,11.43,87.89,140.76,52.87
412,42.86,27.93,8.52,83.21,135.01,51.8
413,67.76,34.44,7.12,67.49,105.31,37.82
414,57.49,28.85,6.79,41.09,59.77,18.68
415,61.16,16.52,9.64,23.84,35.63,11.79
416,45.73,17.23,5.89,21.8,31.69,9.89
417,31.92,10.18,4.54,21.84,30.03,8.19
418,27.39,6.56,3.95,21.72,30.84,9.12
419,33.8,5.85,4.07,22.78,31.48,8.7
420,20.5,3.88,3.88,35.43,45.45,10.02
421,23.6,8.46,3.99,68.01,91.37,23.36
422,27.35,21.66,4.98,79.89,108.46,28.57
423,40.83,14.19,4.25,65.41,76.37,10.96
424,38.88,19.18,3.75,87.33,110.38,23.05
425,41.7,14.33,3.66,75.94,99.52,23.58
426,48.9,17.69,3.11,36.88,42.75,5.87
427,37.79,11.15,3.09,29.92,33.92,4.0
428,35.93,6.94,3.25,22.61,25.48,2.87
429,26.93,6.76,3.13,18.85,21.48,2.63
430,21.11,7.44,2.91,15.77,18.2,2.43
431,29.57,13.85,2.78,17.04,19.67,2.63
432,30.5,19.28,2.2,33.38,40.29,6.91
433,28.62,12.75,1.74,58.52,76.75,18.23
434,17.43,8.44,2.1,45.27,56.56,11.29
435,19.06,6.24,3.06,29.97,37.51,7.54
436,14.14,6.01,4.05,27.3,38.12,10.82
437,19.56,4.53,4.12,22.97,31.42,8.45
438,16.42,3.93,4.15,22.04,30.89,8.85
439,14.63,3.72,3.73,20.24,28.08,7.84
440,11.97,7.81,3.5,31.18,41.86,10.68
441,13.88,6.26,3.2,25.91,33.33,7.42
442,13.92,4.18,2.97,24.02,29.83,5.81
443,31.52,9.99,5.59,35.27,56.35,21.08
444,46.12,35.34,8.67,112.64,176.56,63.92
445,86.39,60.88,3.18,62.39,80.28,17.89
446,72.98,53.19,2.71,36.07,47.91,11.84
447,47.98,30.44,1.96,26.13,31.85,5.72
448,31.57,19.07,2.37,28.85,34.45,5.6
449,19.46,11.28,2.22,27.79,32.45,4.66
450,16.02,7.71,2.04,33.3,38.06,4.76
451,14.1,6.18,2.11,27.64,31.89,4.25
452,22.25,9.49,1.92,18.4,21.76,3.36
453,13.9,7.12,2.27,21.3,24.29,2.99
454,24.49,5.02,2.24,50.57,63.63,13.06
455,17.94,5.24,2.32,31.35,39.78,8.43
456,7.65,6.72,2.12,19.36,26.61,7.25
457,6.49,5.93,3.01,20.86,27.92,7.06
458,17.77,11.65,2.52,19.3,25.43,6.13
459,12.52,8.08,2.57,23.22,29.67,6.45
460,29.34,16.18,2.8,25.12,30.99,5.87
461,18.61,9.74,3.06,32.95,38.53,5.58
462,19.98,15.62,3.5,57.46,65.94,8.48
463,24.44,19.11,3.37,65.88,84.06,18.18
464,30.2,19.05,3.22,71.49,89.37,17.88
465,29.84,11.14,3.02,72.24,91.62,19.38
466,36.03,12.56,2.81,58.94,74.29,15.35
467,36.88,14.33,2.41,41.22,47.85,6.63
468,35.54,9.55,3.28,49.9,60.8,10.9
469,38.65,14.41,4.81,60.53,72.5,11.97
470,44.36,20.49,4.17,55.81,62.45,6.64
471,44.35,19.64,3.31,52.33,57.4,5.07
472,28.0,11.26,3.96,51.53,57.22,5.69
473,37.86,10.59,8.23,87.58,135.12,47.54
474,38.59,7.44,10.19,131.68,256.56,124.88
475,41.2,18.48,7.23,14.34,20.29,5.95
476,36.14,10.57,5.19,18.18,24.84,6.66
477,20.28,6.94,5.05,19.15,26.37,7.22
478,12.87,6.05,4.89,20.5,27.31,6.81
479,20.89,6.74,5.48,84.76,109.17,24.41
480,18.68,6.81,3.17,53.32,63.66,10.34
481,20.1,8.72,3.49,104.26,154.55,50.29
482,35.03,6.42,3.41,96.62,135.1,38.48
483,30.94,9.83,3.32,81.08,101.64,20.56
484,40.72,9.36,3.44,74.91,91.97,17.06
485,38.36,17.7,3.7,88.93,122.63,33.7
486,46.73,16.7,4.88,88.85,137.52,48.67
487,57.17,26.9,5.51,71.64,101.78,30.14
488,49.66,18.52,6.12,73.65,105.41,31.76
489,45.56,29.78,5.79,80.41,128.99,48.58
490,45.95,19.15,8.16,117.77,225.4,107.63
491,73.38,36.99,10.18,31.37,42.91,11.54
492,63.8,22.66,12.83,23.83,32.69,8.86
493,56.24,19.62,13.17,24.71,32.67,7.96
494,42.79,17.82,9.33,25.37,31.0,5.63
495,44.07,15.41,7.63,41.91,54.35,12.44
496,37.29,10.48,6.0,46.23,58.2,11.97
497,20.9,7.51,5.59,42.13,54.52,12.39
498,19.19,6.18,4.88,39.52,51.02,11.5
499,11.71,4.92,4.55,45.33,59.93,14.6
500,8.59,4.89,4.19,51.64,67.22,15.58
501,52.02,17.89,9.58,137.88,283.29,145.41
502,60.15,34.53,22.58,124.61,231.2,106.59
503,80.42,35.24,17.8,138.11,232.74,94.63
504,49.46,11.56,5.08,20.48,26.05,5.57
505,36.38,6.92,4.33,18.81,23.83,5.02
506,19.85,5.7,2.84,26.7,31.72,5.02
507,15.64,5.14,3.36,42.53,48.59,6.06
508,28.54,7.88,7.93,56.44,63.86,7.42
509,31.31,6.47,4.51,81.16,95.62,14.46
510,49.68,4.61,5.72,74.72,86.51,11.79
511,30.44,5.01,5.78,77.54,88.76,11.22
512,33.47,5.3,5.09,56.36,60.85,4.49
513,27.92,6.02,5.55,75.43,88.24,12.81
514,40.11,5.77,6.93,110.53,163.16,52.63
515,46.66,16.62,5.28,76.47,99.91,23.44
516,55.76,25.23,4.48,64.95,78.88,13.93
517,47.38,23.87,5.1,58.49,68.3,9.81
518,28.04,14.54,4.05,63.49,78.62,15.13
519,32.27,9.43,3.67,73.41,105.91,32.5
520,44.14,18.85,6.02,87.91,142.88,54.97
521,61.33,19.0,7.88,68.84,107.58,38.74
522,44.74,23.0,6.65,43.66,61.72,18.06
523,39.57,15.05,5.3,39.3,53.97,14.67
524,39.68,8.21,4.32,25.4,33.27,7.87
525,27.9,4.66,4.03,20.14,26.87,6.73
526,41.13,3.77,3.97,26.35,33.31,6.96
527,29.39,17.62,4.67,37.96,44.9,6.94
528,29.43,11.36,5.67,96.06,129.81,33.75
529,45.78,11.29,7.67,160.89,299.01,138.12
